gene ID,gene_symbol,UniGene symbol,GenBank_id,Accession,gene_name,organism,p-value,sample,change_evaluation_by,sex,measurement_method,statistical_method,age_units,min_age_of_control,max_age_of_control,min_age_of_experiment,max_age_of_experiment,link,change_type,n_of_control,n_of_experiment,percent_of_change,FC,logFC,q-value,FDR
,CSTF3,,NM_001326,,"Cleavage stimulation factor, 3′ pre-RNA, subunit 3, 77 kDa",human,"0,009",muscle,mRNA,Woman,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,10.1016/j.exger.2003.11.011,increased gene expression,7,8,23,1.23,,,0.045
AA053830,CTBP1,,,,C-terminal binding protein 1,human,"0,02361376531",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-34,64052288","1,53",,,
AW304174,CTBS,,,,spermatogenesis associated 1,human,"0,001759017887",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-41,17647059","1,70",,,
,CTH,,,NM_153742.3,,human,"0,0002708",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,40,"1,4",,,
,CTL2,CTL2,,,choline transporter-like protein 2,human,"0,007",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"61,3581435",1.6135814349665414,,,5.074085998
,CTL2,CTL2,,,choline transporter-like protein 2,human,"0,0148",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"24,97071845",1.2497071844620145,,,6.354174563
NM_001903,CTNNA1,,,,"catenin (cadherin-associated protein), alpha 1, 102kDa",human,"0,005923000392",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,484,"5,85",,,
,CTNNBIP1,CTNNBIP1,,,beta-catenin-interacting protein ICAT,human,"0,0019",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,"-24,9669158",0.750330842,,,5.234573694
NM_000308,CTSA,,,,protective protein for beta-galactosidase (galactosialidosis),human,"6,64E-05",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,293,"3,93",,,
NM_006560,CUGBP1,,,,"CUG triplet repeat, RNA binding protein 1",human,"0,00998779222",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-34,21052632","1,52",,,
AF212995,CUL4B,,,,cullin 4B,human,"0,01125132093",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-52,38095238","2,1",,,
,CX3CL1,,,,chemokine (C-X3-C motif) ligand 1,human,">0,01",entorhinal cortex,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,decreased gene expression,20,16,"-46,38256363",0.5361743636726131,,,
,CX3CL1,,,,chemokine (C-X3-C motif) ligand 1,human,"<0,01",entorhinal cortex,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,decreased gene expression,20,16,"-46,67918059",0.5332081941188572,,,
,CX3CL1,,,,chemokine (C-X3-C motif) ligand 1,human,">0,01",hippocampus,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,decreased gene expression,20,16,"-31,64889587",0.683511041253694,,,
,CX3CL1,,,,chemokine (C-X3-C motif) ligand 1,human,"<0,01",hippocampus,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,decreased gene expression,20,16,"-31,6023156",0.683976843961165,,,
,CX3CL1,,,,chemokine (C-X3-C motif) ligand 1,human,"<0,01",Posterior cingulate cortex,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,decreased gene expression,20,16,"-61,03783831",0.38962161686071056,,,
,CX3CL1,,,,chemokine (C-X3-C motif) ligand 1,human,"<0,01",Posterior cingulate cortex,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,decreased gene expression,20,16,"-56,18553611",0.4381446389463693,,,
,CX3CL1,,,,chemokine (C-X3-C motif) ligand 1,human,"<0,01",superior frontal gyrus,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,decreased gene expression,20,16,"-61,10481999",0.3889518000582263,,,
,CX3CL1,,,,chemokine (C-X3-C motif) ligand 1,human,"<0,01",superior frontal gyrus,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,decreased gene expression,20,16,"-58,01872496",0.4198127504168141,,,
,CX3CR1,,,,chemokine (C-X3-C motif) receptor 1,human,">0,01",entorhinal cortex,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,decreased gene expression,20,16,"-41,68890091",0.5831109908701895,,,
,CX3CR1,,,,chemokine (C-X3-C motif) receptor 1,human,">0,01",entorhinal cortex,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,increased gene expression,20,16,"28,99591014",1.2899591013854041,,,
,CX3CR1,,,,chemokine (C-X3-C motif) receptor 1,human,">0,01",hippocampus,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,decreased gene expression,20,16,"-50,53907787",0.49460922128326434,,,
,CX3CR1,,,,chemokine (C-X3-C motif) receptor 1,human,">0,01",hippocampus,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,increased gene expression,20,16,"59,23639216",1.5923639215709802,,,
,CX3CR1,,,,chemokine (C-X3-C motif) receptor 1,human,">0,01",Posterior cingulate cortex,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,decreased gene expression,20,16,"-28,08671567",0.7191328432983464,,,
,CX3CR1,,,,chemokine (C-X3-C motif) receptor 1,human,">0,01",Posterior cingulate cortex,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,increased gene expression,20,16,"43,74299188",1.4374299188032251,,,
,CX3CR1,,,,chemokine (C-X3-C motif) receptor 1,human,">0,01",superior frontal gyrus,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,decreased gene expression,20,16,"-29,22907849",0.7077092151235369,,,
,CX3CR1,,,,chemokine (C-X3-C motif) receptor 1,human,">0,01",superior frontal gyrus,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,decreased gene expression,20,16,"-3,262615556",0.9673738444355594,,,
,CXCL1,,,,chemokine (C-X-C motif) ligand 1,human,">0,01",entorhinal cortex,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,increased gene expression,20,16,"18,3403501",1.1834035009606065,,,
,CXCL1,,,,chemokine (C-X-C motif) ligand 1,human,">0,01",hippocampus,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,increased gene expression,20,16,"86,80225763",1.8680225762748872,,,
,CXCL1,,,,chemokine (C-X-C motif) ligand 1,human,">0,01",Posterior cingulate cortex,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,increased gene expression,20,16,"16,21969243",1.1621969242841268,,,
,CXCL1,,,,chemokine (C-X-C motif) ligand 1,human,">0,01",superior frontal gyrus,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,increased gene expression,20,16,"20,09900419",1.2009900418871895,,,
,CXCL10,,,,chemokine (C-X-C motif) ligand 10,human,">0,01",entorhinal cortex,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,decreased gene expression,20,16,"-16,98395916",0.8301604084373594,,,
,CXCL10,,,,chemokine (C-X-C motif) ligand 10,human,">0,01",hippocampus,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,decreased gene expression,20,16,"-14,33384387",0.8566615612718688,,,
,CXCL10,,,,chemokine (C-X-C motif) ligand 10,human,">0,01",Posterior cingulate cortex,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,decreased gene expression,20,16,"-9,393749546",0.9060625045407326,,,
,CXCL10,,,,chemokine (C-X-C motif) ligand 10,human,">0,01",superior frontal gyrus,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,decreased gene expression,20,16,"-11,73982323",0.8826017677470369,,,
,CXCL12,,,,chemokine (C-X-C motif) ligand 12,human,">0,01",entorhinal cortex,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,decreased gene expression,20,16,"-23,05277231",0.7694722769186395,,,
,CXCL12,,,,chemokine (C-X-C motif) ligand 12,human,"<0,01",hippocampus,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,decreased gene expression,20,16,"-30,86939441",0.6913060559133825,,,
,CXCL12,,,,chemokine (C-X-C motif) ligand 12,human,">0,01",Posterior cingulate cortex,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,decreased gene expression,20,16,"-26,93892398",0.7306107602132947,,,
,CXCL12,,,,chemokine (C-X-C motif) ligand 12,human,">0,01",superior frontal gyrus,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,decreased gene expression,20,16,"-19,41423043",0.805857695663026,,,
,CXCL14,,,,chemokine (C-X-C motif) ligand 14,human,">0,01",entorhinal cortex,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,decreased gene expression,20,16,"-45,67365449",0.5432634550733715,,,
,CXCL14,,,,chemokine (C-X-C motif) ligand 14,human,">0,01",entorhinal cortex,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,decreased gene expression,20,16,"-39,6357314",0.6036426859969943,,,
,CXCL14,,,,chemokine (C-X-C motif) ligand 14,human,">0,01",hippocampus,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,decreased gene expression,20,16,"-27,73097539",0.722690246082782,,,
,CXCL14,,,,chemokine (C-X-C motif) ligand 14,human,">0,01",hippocampus,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,decreased gene expression,20,16,"-25,71011961",0.7428988039155717,,,
,CXCL14,,,,chemokine (C-X-C motif) ligand 14,human,">0,01",Posterior cingulate cortex,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,decreased gene expression,20,16,"-42,76777656",0.5723222344322711,,,
,CXCL14,,,,chemokine (C-X-C motif) ligand 14,human,">0,01",Posterior cingulate cortex,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,decreased gene expression,20,16,"-42,36800434",0.5763199566339741,,,
,CXCL14,,,,chemokine (C-X-C motif) ligand 14,human,">0,01",superior frontal gyrus,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,decreased gene expression,20,16,"-26,332361",0.7366763899943182,,,
,CXCL14,,,,chemokine (C-X-C motif) ligand 14,human,">0,01",superior frontal gyrus,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,decreased gene expression,20,16,"-29,52135398",0.7047864601659537,,,
,CXCL16,,,,chemokine (C-X-C motif) ligand 16,human,">0,01",entorhinal cortex,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,increased gene expression,20,16,"53,96092628",1.5396092627604354,,,
,CXCL16,,,,chemokine (C-X-C motif) ligand 16,human,"<0,01",hippocampus,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,increased gene expression,20,16,"100,6419546",2.0064195457649,,,
,CXCL16,,,,chemokine (C-X-C motif) ligand 16,human,"<0,01",Posterior cingulate cortex,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,increased gene expression,20,16,"78,92375698",1.7892375697701837,,,
,CXCL16,,,,chemokine (C-X-C motif) ligand 16,human,"<0,01",superior frontal gyrus,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,increased gene expression,20,16,"44,12732347",1.4412732346787036,,,
,CXCL2,,,,chemokine (C-X-C motif) ligand 2,human,">0,01",entorhinal cortex,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,decreased gene expression,20,16,"-0,9766446785",0.9902335532152111,,,
,CXCL2,,,,chemokine (C-X-C motif) ligand 2,human,">0,01",hippocampus,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,increased gene expression,20,16,"116,0263722",2.1602637218000664,,,
,CXCL2,,,,chemokine (C-X-C motif) ligand 2,human,">0,01",Posterior cingulate cortex,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,increased gene expression,20,16,"14,03286446",1.1403286446312182,,,
,CXCL2,,,,chemokine (C-X-C motif) ligand 2,human,">0,01",superior frontal gyrus,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,increased gene expression,20,16,"30,71088873",1.3071088872538028,,,
,CXCL5,,,,chemokine (C-X-C motif) ligand 5,human,">0,01",entorhinal cortex,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,increased gene expression,20,16,"20,9147949",1.2091479490049817,,,
,CXCL5,,,,chemokine (C-X-C motif) ligand 5,human,"<0,01",hippocampus,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,increased gene expression,20,16,"64,89134932",1.6489134931650378,,,
,CXCL5,,,,chemokine (C-X-C motif) ligand 5,human,">0,01",Posterior cingulate cortex,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,decreased gene expression,20,16,"-2,269076542",0.9773092345820945,,,
,CXCL5,,,,chemokine (C-X-C motif) ligand 5,human,">0,01",superior frontal gyrus,mRNA,both,"Microarray, qPCR",linear regression,Years,20,59,60,99,10.1186/1742-2094-9-179,increased gene expression,20,16,"1,865349741",1.0186534974050838,,,
NM_001504,CXCR3,,,,chemokine (C-X-C motif) receptor 3,human,"0,02002299831",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,108,"2,09",,,
AI817041,CXCR7,,,,chemokine orphan receptor 1,human,"0,00420284636",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-66,21621622","2,96",,,
,CXXC1,,,NM_014593.1,,human,"0,0009679",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,20,"1,2",,,
AL514271,CYB561,,,,cytochrome b-561,human,"0,002116031217",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,183,"2,83",,,
,CYC1,CYC1,,,cytochrome c-1,human,"0,0104",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,"-14,5206204",0.854793796,,,9.271695889
,CYCS,,,NM_018947.4,,human,"0,0013198",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-30,"0,7",,,
BC005097,CYFIP1,,,,cytoplasmic FMR1 interacting protein 1,human,"0,003138926478",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,530,"6,3",,,
,CYP1B1,,,U03688,"cytochrome P450, family 1, subfamily B, polypeptide 1",human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,78,1.78,,0.009920598,
,CYP1B1,,,NM_000104.2,,human,"0,0007851",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,60,"1,6",,,
,CYP2A6,CYP2A6,,,cytochrome P450IIA3,human,"0,0011",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,"-24,0286661",0.759713339,,,5.234573694
,CYP4X1,CYP4X1,,,likely ortholog of rat cytochrome P450 4X1,human,"0,00016",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"82,71436354",1.8271436353874506,,,1.555448981
NM_014392,D4S234E,,,,DNA segment on chromosome 4 (unique) 234 expressed sequence,human,"0,007756868044",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-49,49494949","1,98",,,
AK021890,DAAM1,,,,dishevelled associated activator of morphogenesis 1,human,"0,006846978013",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,69,"1,69",,,
,DAAM2,DAAM2,,,Dishevelled associated activator of morphogenesis 2,human,"0,0019",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,"-43,2461337",0.567538663,,,2.835248776
,DAT1,,,NM_018640.3,,human,"0,0168009",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,20,"1,2",,,
,DATF1,,,NM_080797.1,,human,"0,0001211",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,30,"1,3",,,
,DAZAP1,,BF512907,,DAZ associated protein 1,human,"0,001",muscle,mRNA,Woman,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,10.1016/j.exger.2003.11.011,increased gene expression,7,8,36,1.36,,,0.013000000000000001
,DBP,DBP,,,albumin D-box binding protein,human,"0,0104",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,"-40,9380677",0.590619323,,,7.425651557
U79283,DBP,,,,D site of albumin promoter (albumin D-box) binding protein,human,"0,001512350306",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-52,38095238","2,1",,,
,DC13,,,NM_020188.2,,human,"0,00000164",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-30,"0,7",,,
BF222893,DCHS1,,,,protocadherin 16 dachsous-like (Drosophila),human,"0,0006492847067",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-57,98319328","2,38",,,
NM_000788,DCK,,,,deoxycytidine kinase,human,"0,002269180456",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-46,80851064","1,88",,,
,DCLRE1C,,,NM_022487.1,,human,"0,001088",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,20,"1,2",,,
,DCOHM,,,NM_032151.2,,human,"0,0000706",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-30,"0,7",,,
,DDIT3,DDIT3,,,DNA-damage-inducible transcript 3,human,"0,003",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,decreased gene expression,8,8,"-20,3452664",0.796547336,,,5.385423359
,DDIT4,,,AA522530,HIF-1 responsive RTP801,human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,155,2.55,,0.002142,
,DDR1,,,L20817,"discoidin domain receptor family, member 1",human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,increased gene expression,,30,82,1.82,,0.002142,
NM_001355,DDT,,,,D-dopachrome tautomerase,human,"0,003102950212",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-39,39393939","1,65",,,
NM_030653,DDX11,,,,"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 (CHL1-like helicase homolog, S. cerevisiae) /// DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 (CHL1-like helicase homolog, S. cerevisiae)",human,"0,002977700979",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,112,"2,13",,,
AI983033,DDX12,,,,"Homo sapiens similar to DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11; DEAD/H box-11 (CHL1-related helicase gene-1); yeast CHL1 homolog (LOC338812), mRNA",human,"0,02422518424",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,increased gene expression,5,4,104,"2,04",,,
NM_030881,DDX17,,,,DEAD (Asp-Glu-Ala-Asp) box polypeptide 17 /// DEAD (Asp-Glu-Ala-Asp) box polypeptide 17,human,"0,002543806533",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-64,02877698","2,78",,,
,DDX17,,,NM_030881.2,,human,"0,0011983",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,40,"1,4",,,
,DDX23,,,NM_004818.2,,human,"0,000000666",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,30,"1,3",,,
,DDX24,,NM_020414,,DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 24,human,"0,009",muscle,mRNA,Woman,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,10.1016/j.exger.2003.11.011,increased gene expression,7,8,25,1.25,,,0.021
,DDX24,DDX24,,,DEADH (Asp-Glu-Ala-AspHis) box polypeptide 24,human,"0,0104",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"13,9150119",1.139150119,,,8.175499961
,DDX3X,,,U50553,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked",human,"<0,01",frontal cortex,mRNA,both,"Microarray, qPCR, WesternBlot",Spearman rank correlation coefficient,Years,,,26,106,10.1038/nature02661,decreased gene expression,,30,"-45,94594595",-1.85,,0.002142,
,DDX42,,NM_007372,,DEAD (Asp-Glu-Ala-Asp) box polypeptide 42,human,"0,002",muscle,mRNA,Woman,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,10.1016/j.exger.2003.11.011,increased gene expression,7,8,34,1.34,,,0.011000000000000001
,DDX42,,,NM_007372.2,,human,"0,0457825",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,20,"1,2",,,
,DDX55,,,NM_020936.1,,human,"0,014281",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,increased gene expression,26,25,20,"1,2",,,
,DDX9,DDX9,,,"DEADH (Asp-Glu-Ala-AspHis) box polypeptide 9,isoform 1",human,"0,0104",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,"24,2646271",1.242646271,,,8.585534989
AF068892,DEAF1,,,,deformed epidermal autoregulatory factor 1 (Drosophila),human,"0,02893907014",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-51,2195122","2,05",,,
,DECR1,,,NM_001359.1,,human,"0,0000104",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-30,"0,7",,,
AF064605,DEDD,,,,death effector domain containing,human,"0,0111242689",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-39,02439024","1,64",,,
NM_004084,DEFA1,,,,"defensin, alpha 1, myeloid-related sequence",human,"0,01645421588",CD8+ T cells,mRNA,both,"Microarray, qPCR",Student t-test,Years,23,27,65,81,10.1111/j.1474-9726.2009.00534.x,decreased gene expression,5,4,"-83,87096774","6,2",,,
,DERL1,MGC3067,,,hypothetical protein MGC3067,human,"0,0047",muscle,mRNA,male,"Microarray, qPCR","Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,21,27,67,75,10.1152/physiolgenomics.00049.2003,increased gene expression,8,8,44,1.448816396,0.5348747782188048,9.271695889,
,DEXI,,,NM_014015.3,,human,"0,001243",muscle,mRNA,both,"Microarray, qPCR",Student t-test,Years,18,28,65,84,10.1371/journal.pone.0000465,decreased gene expression,26,25,-30,"0,7",,,
